original	normalized
aja	saja
banget	sangat
beliin	membelikan
bgt	banget
bikin	membuat
blm	belum
bngt	banget
dgn	dengan
dlm	dalam
dlu	dulu
dr	dari
ga	gak
gak	tidak
gk	gak
gue	saya
gw	saya
jg	juga
kl	kalau
klo	kalau
klw	kalau
krn	karena
lemot	lambat
lempar	melempar
lg	lagi
liat	lihat
lo	kamu
lu	kamu
makai	menggunakan
mantul	mantap betul
matiin	mematikan
ngecas	mengisi daya
ngegame	bermain game
nggak	tidak
nonton	menonton
nyala	menyala
pake	menggunakan
pd	pada
sip	bagus
sm	sama
sy	saya
tdk	tidak
tp	tapi
trs	terus
udah	sudah
udh	sudah
gadged	handphone
vidio	video
ngehayal	Mengkhayal
enggak	tidak
dilimit	dibatasi
watch	menonton
like	suka
love	cinta
crazy	gila
sad	sedih
nice	bagus
amazing	menakjubkan
hello	halo
yes	ya
cool	keren
happy	senang
no	tidak
comment	komentar
subscribe	berlangganan
good	baik
bad	buruk
bye	selamat tinggal
throtling	throttling
galigali	menggali gali
recomended	direkomendasikan
ahirnya	akhirnya
sweet spot	point penting
pengin	pengen
pengen	ingin
issue	masalah
tes	coba
gampang	mudah
kayak	seperti
charger	pengisi daya
smartphone	handphone
sesubgguhjya	sesungguhnya
sosmed	social media
nov	november
camera	kamera
pasan	pas pasan
pas pasan	cukup
non	tidak ada
dll	dan lain-lain
batre	baterai
pakae	pake
phonekabel	phone kabel
incer	incar
swara	suara
dkorea	di korea
iphon	iphone
i phone	iphone
mtiinkcualu	matiin kecuali
dbntu	dibantu
apl	aplikasi
apk	aplikasi
tmbhantrs	tambahan terus
indokrn	indonesia karena
indo	indonesia
krja	kerja
bagusssss	bagus
bangeeeettt	banget
bangpada	bang pada
knp	kenapa
ane	saya
dualsim dual sim
beacukai	bea cukai
minus	kurang
hzhemat	hz hemat
on	hidup
off	mati
kebeli	ke beli
itupun	itu pun
inidan	ini dan
ultragak	ultra gak
dibanding	dibandingkan
ngambil	mengambil
dibandingin	dibandingkan
kepengen	ke pengen
ex	bekas
bulak	bolak
ulta	ultra
davidsetelah	david setelah
lumyan	lumayan
sktr	sekitar
setahunan	setahun
linessedih	lines sedih
sesmoth	se smooth
rekom	direkomendasikan
bajet	budget
gua	saya
revive	review
videoin	merekam video
bro	kawan
ngga	tidak
jgn	jangan
binggung	bingung
spek	spesifikasi
samsungcuma	samsung cuma
khualitas	kualitas
dikasi	dikasih
waduuu	waduh
walau	walaupun
merasai	merasakan
midrange	mid range
iphoneups	iphone ups
po	pre order
lesampaian	ke sampaian
ngetest	mencoba
ngetes	mencoba
dipakein 	dipakaikan
antigrenscrenygdicari	anti green screen yang dicari
ditest	dicoba
pilek	flu
gasuka	tidak suka
mantulin	memantulkan
begjni	begini
monggo	silahkan
kudu	harus
shadowburn	shadow burn
